idx,participant,JNAME,z_L,z_S,positions
0,Carlos,J000848+001550,0.3967035,0.89,"(45.495464, 56.348639); (67.201814, 61)"
1,Clécio,J015938-035859,1.11,1.65,"(67.791046, 59.008803); (52.487411, 53.965707)"
2,Cristina,J023249-032326,0.45,2.518,"(65.349186, 79.287481); (37.622687, 61.337385); (46.954312, 42.465676); (79.548511, 47.823053)"
3,Damián,J083930+021024,0.74,0.98,"(71.844233, 58.371178); (54.201408, 60.893688); (69.548343, 68.909743)"
5,Davi,J101847-012132,0.3883785,1.13,"(77.625183, 63.84833); (66.367601, 42.517895); (47.66432, 65.892808)"
6,Eduardo,J122335-021030,0.4390648,2.11,"(35.299652, 44.675734); (34.133316, 66.886135); (61.329562, 83.556884); (77.067931, 53.402664)"
7,Elizabeth,J122450-004215,0.4030601,0.56,"(46.769616, 66.177161); (66.337325, 71.353825); (65.941419, 44.047333)"
8,Erick,J142013+005925,0.96,1.07,"(52.820832, 62.015673)"
9,Felipe,J142103+002219,0.63,1.0,"(44.989756, 59.584899); (61.766637, 51.824412); (54.591158, 76.444597); (77.947219, 75.417321)"
10,Fernanda,J142410-005317,0.88,1.302,"(70.388733, 64.327329); (63.723489, 48.626976); (49.344482, 69.755963)"
11,Grasiele,J155732+420623,0.45,1.22,"(50.867374, 71.874686); (60.386404, 72.881737); (51.863542, 55.262704); (72.96503, 55.89519)"
12,Gustavo,J232346-003037,0.84,1.32,"(57.28605, 50.823508); (70.587668, 67.781861); (54.543402, 62.375744)"
14,João,J233106+000012,0.61,0.89,"(55.093602, 64.894328); (61.112157, 65.149796); (54.898886, 59.961512); (66.006673, 56.96236)"
15,Ingrid,J020955-024442,0.80085516,1.4086441,"(65.98474, 59.987475); (59.987475, 64.972215); (54.145982,57.806651); (58.974949, 52.821911)"
16,Karín,J120743-010355,0.9087908,1.5974256,"(65.056592, 70.059722); (48.195449, 64.177772); (61.129811, 51.978139)"
17,Kayque,J223238-002533,0.76919055,1.3578144,"(52.027468, 69.318285); (49.971262, 55.952951); (73.05684, 61)"
18,Mariana,J141001+012956,0.77959996,1.3721035,"(65.149796, 44.737285); (71.094099, 51.915311); (70.981942, 71.767039), (53.261191, 71.767039)"
19,Martin,J092544+001702,0.7654021,1.3366113,"(66.04706, 51.933986); (68.009805, 55.95294); (49.97124, 52.96209), (59.971895, 69.97255)"
20,Matheus,J144428-005142,0.79665136,1.388757,"(76.141148, 62.121567); (77.711342, 53.149034); (64.252543, 73.898015)"
21,Pedro,J224221+001144,0.777612,1.355428,"(53.036867, 49.784319); (48.101967, 61); (79.057246, 61.897254)"
22,Ranier,J091904+033638,0.7630085,1.3384597,"(58.943792, 74.926137); (68.103264, 71.000648); (72.028752, 52.12092); (53.149024, 56.420264)"
23,Renan,J223934+023506,0.80379957,1.4155767,"(52.02745, 58.00915); (50.030953, 64.959242); (57.949437, 70.930557); (73.072442, 50.095859)"
24,Santiago,J141048-010946,0.8828858,1.5394981,"(61, 51.933986); (63.920752, 56.975853); (53.990195, 58.273965); (58.79321, 65.86792)"
25,Thiago,J023538-063406,0.9047735,1.5878531,"(60.065359, 46.98039); (76.141179, 58.943791); (56.981045, 68.757518)"
26,Vitor,J023637-033220,0.78967965,1.3847239,"(49.97124, 65.018955); (49.130064, 53.896731); (63.056209, 72.869936); (68.103269, 55.0183)"
27,nan,J143438+431542,0.80726826,1.4172589,"(72.215688, 62.79451); (70.981962, 55.840784); (64.115469, 71.982028); (46.201523, 55.080609)"
29,nan,J143454-005658,0.78405046,1.3706987,"(49.130064, 69.97255); (55.0183, 49.97124); (65.112419, 74.926146); (79.954513, 55.840784)"
